GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
examen,ies.puerto.modelo.entity,Alimento,6,148,3,5,3,45,3,20,0,19
examen,ies.puerto.modelo.file.abstrac,FileAbstrac,10,46,5,5,5,11,5,3,0,3
examen,ies.puerto.negocio.implementacion,TiendaNegocio,10,68,4,4,5,16,4,6,0,6
examen,ies.puerto.modelo.file.implementacion.csv,FileCsv,3,155,2,8,2,35,2,11,0,8
